name	node_type:LABEL	node_id:ID
Sister Kenny	movie	86ae539ae94232379f532e4c5978b565
Sister Kenny	writer	17da27d0ad048242ad3e81130c42ccbd
Martha Ostenso	writer	2e51b0f8ae572ea8be71c07b68a555bb
Philip Merivale	actor	9e8812aa5d378c34c94a08babf272c7b
Secret Admirer	movie	4efd8d25185e0582b4a1fab7654b5dc6
Lori Loughlin	actor	feee263f79db97ecb3854cde4dea231f
Goodbye Uncle Tom	movie	e3cb5ae19b524f659146e671e12a7b42
Two-Minute Warning	movie	5ff30f795ef3e8312e0ad86a70ae4804
Peter's Friends	movie	797f944233282ca8e29c1a576931a9fb
Kirk Wong	director	f14f228684583d1832aa8701c8788c27
Martin Bergman	writer	b302b43bb8f29f4ebb116d0230c755dc
Rita Rudner	writer	bf75ebfe67f9cb971760f3beb7640b9b
Alphonsia Emmanuel	actor	840d1df48823d32aff8c17206b0dbe47
Firehouse Dog	movie	f3dc7687aa587bef1c1821ea8184b4c9
Bill Nunn	actor	62e74f0a0f3505e64cccd069bbd2212e
Step Up Revolution	movie	e36d7f470be2de45b3c332083bb996d2
Scott Speer	director	07578df877b3efdb19d5ce88ec5198b5
Feed	movie	49d550f0969665275a47320bec17cf10
Baghban	movie	33e94e11332f902b949ad0ed4aac6bcf
Ravi Chopra	director	191cc1cc6246c118efec95428a108b14
My Favorite Season	movie	384d6d1e067ccbd431c7a79d577fc75a
Kent Cheng	actor	365bb90a3126698a39563e3fc9d3208e
Aman Verma	actor	0fc89e0b2ab7045fa232aee2bb520420
Samir Soni	actor	620b3bbfff32cf81399a2ddb7ec293a4
Hell Comes to Frogtown	movie	4462b2c074bc56da0526dbf9ba68e6fd
Donald G. Jackson	writer|director	5f99c537e6df2784308b1b411e9ea98d
Randall Frakes	writer	a5cd36a2c433cac0850a119db0ded4ac
Chicken with Plums	movie	1ea62bcff600278a6a605e7859e7eea1
Vincent Paronnaud	writer|director	49d8246bbb70556e01144b4d20e91a5c
The Associate	movie	51d6ab0cbdeaf3a9e6ae63264171eb8e
Jenaro Prieto	writer	1e856509191d7a95b3d1904a1b33bcb5
Downfall	movie	5266923fbca1958f9116a5356a98fa81
The Canterbury Tales	movie	b6801225b1ab84dfde4e672acd7cbd01
Melissa Müller	writer	a5eb79a681a6908f0c5f146676883fb8
Traudl Junge	writer	f4bab21d99f4fa0f5d8ef211c9bf997b
Joachim Fest	writer	169d5dd3cc5054739489d59eae20fdff
nazi germany	tag	2c4e9a15b1494b498bfd829c8567d74c
The Unbearable Lightness of Being	movie	b102c4b84674e1d478bbe2928c8435fa
Milan Kundera	writer	4c968fd8dd152fdb791550dbe15fc766
milan kundera	tag	5f3a4a278436600720c5b5ac29e2bc8f
P2	movie	a4e317a568d81509200c20134be6c024
Maverick	movie	40f00706b3a6c06d6d8cad85e14b61c5
Something in the Wind	movie	50a8eb675035fdc74c90c77d7259c78d
Geoffrey Chaucer	writer	847e0d2049f9120fcd7daae4b0f7b01f
Charles O'Neal	writer	e46fe5135f994f2bbfc788ccd0e70a85
Fritz Rotter	writer	87f168aedc6d7a4871870d5b89b4cb89
The Desperadoes	movie	e462512338b9890fcc30888160843403
Sugar Hill	movie	3ca3f42fb9f39da4841333632454e587
Deliver Us from Evil	movie	7664513cc32f8fc63cc3c395064b3b8c
Lisa Collier Cool	writer	e84888e606e202349880acc768960a02
Ralph Sarchie	writer	dbca9c795f7d3093eca4dd40694c9158
Experiment Perilous	movie	d636b5f2bc7e3f7fefd5a59cf196fc89
Margaret Carpenter	writer	e46ec1b2c4e2af239bcdb64d76a6e9df
Alan Curtis	actor	d05a34563dffbb348b18cfca31ba8262
Ninetto Davoli	actor	d4f413c9275ff896a463e057f643037a
Assassins	movie	422247ea1409d271ced516834b3c9037
Of Love and Shadows	movie	70a1458db45fe9f50f9f4590ef03e5db
Betty Kaplan	director	6f3261ce62e9d5609faa3b8e91363500
54	movie	c1268bed09741417c3050f80eae24052
Mark Christopher	writer|director	d8fd60a36e8414991ae0ba5f3d8889e1
Meeting Evil	movie	c89b41c525716764eaae647c8c13450c
Man of Tai Chi	movie	08133cc803ca280c7ff0348fb3c3358a
Jimmy and Judy	movie	612ad56a241a96018576e967db71d9fe
Jon Schroder	writer|director	6bebda4d2c5f2061c6222fa096fd3a5e
Rachael Bella	actor	ace242bed9ce4fa666157dabc35f8128
Exotica	movie	a8b79b7b0a83b7d65787ac15101dc303
Country	movie	04de3b81937326ba5824fa673c30c06b
My Life	movie	617215f7b87ae8ad48c6e06726a4585f
Is the Man Who Is Tall Happy?	movie	4a827fbc0d3faa151437159a30e03a27
noam chomsky	tag	6dd61880ea392a74e9b4483394b448a3
Justin Dix	writer|director	7a49d3ff9d9ece100c73c26dbedb3230
Adam Patrick Foster	writer	ff1cafd5942eb48d894044819856de70
Eddie Baroo	writer|actor	ef95bd7dba3994b3867497aea7e6d214
Everyone Says I Love You	movie	d6ed62e69186df736f9856eb6579779a
singing	tag	5969e311f796d5ee32dff4ca352ca7d4
The Legend of Lizzie Borden	movie	53f7716b7d43d165e333cf23d857497b
Atom Egoyan	writer|director|actor	d059634c5351a93a6b6267f7ce7163fd
Elizabeth Montgomery	actor	94d621892ef38cc136fed376d67c3704
Delhi-6	movie	1e2bba87e65c56f6b6586dde222d1b7a
Triage	movie	551c0bbadd43ba69f7813cbfbf6051e1
Scott Anderson	writer	2791195dda2312fdc9125315b2a19136
Playtime	movie	d6fcf0f4243160f50cf110a993e6ccfb
The Medallion	movie	289a49c75674a606d02efa5dfb6673a0
Kansas City Confidential	movie	59cc78c665518207c57a0059fb06269d
Farinelli	movie	46c5194aa50338f0f68b69771f38fd9a
Gérard Corbiau	writer|director	4cb1d53ec567c212ccd93f5644d2a10c
Enrico Lo Verso	actor	2dab9a8640243805bcf53789593d3f91
canada	tag	b35cd426882d85b3edfa36df9066d548
Stefano Dionisi	actor	1496d61147bf4f96adaceb077c67d904
Pipe Dream	movie	35f1d4b0a5ad50dbc5a46329e3e66e0f
'night, Mother	movie	76ed4275a9111436f46bef97908e3c9a
Tom Moore	director	ed8f1b99ed2e20f164aa1facfc185f30
Marsha Norman	writer	5cf4505b2a5cb699dc91e9520a19820a
The Gospel	movie	dd1251a6b63e1041d65f7669570d26c0
