question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what types are the films starred by actors in [The Gypsy Moths],Mystery|Romance|Short|Horror|Sport|Crime|Drama|Western|Action|Comedy|War|Thriller|Adventure,3,what types are the films starred by actors in [],"
MATCH (g:`movie` {name: 'The Gypsy Moths'})-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m:`movie`)-[:has_genre]->(g:`genre`)
RETURN DISTINCT g  
",[],unmatched,
the movies that share actors with the movie [Indiana Jones and the Last Crusade] were in which languages,Irish|German|English|Japanese|French|Greek|Spanish|Russian|Italian,3,the movies that share actors with the movie [] were in which languages,"
MATCH (lang:`language`)<-[:in_language]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Indiana Jones and the Last Crusade'}) 
WHERE m <> m2 
RETURN lang LIMIT 200
","[{'lang': 'Irish'}, {'lang': 'Greek'}, {'lang': 'Japanese'}, {'lang': 'Spanish'}, {'lang': 'Italian'}, {'lang': 'Irish'}, {'lang': 'German'}, {'lang': 'English'}, {'lang': 'English'}, {'lang': 'French'}, {'lang': 'French'}, {'lang': 'Russian'}]",matched,
who are the directors of the films written by the writer of [The Headless Woman],Lucrecia Martel,3,who are the directors of the films written by the writer of [],"
MATCH (m:`movie` {name: 'The Headless Woman'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:directed_by]->(d:`director`)
RETURN d LIMIT 200
","[{'d': 'Lucrecia Martel'}, {'d': 'Lucrecia Martel'}]",matched,
what were the release dates of films directed by the director of [Land of the Dead],1990|1993|1985|1982|1978|1981|1973|1988|2000|2007|2004|1968|2008|2009|2010,3,what were the release dates of films directed by the director of [],"
MATCH (m:`movie` {name: 'Land of the Dead'})-[:directed_by]->(d:`director`)<-[:directed_by]-(m2:`movie`)-[:release_year]->(yr:`year`)
RETURN m2.name as Movie, yr.name as Release_Year LIMIT 200
","[{'Movie': 'Diary of the Dead', 'Release_Year': '2007'}, {'Movie': 'Creepshow', 'Release_Year': '1982'}, {'Movie': 'The Dark Half', 'Release_Year': '1993'}, {'Movie': 'The Crazies', 'Release_Year': '1973'}, {'Movie': 'The Crazies', 'Release_Year': '2010'}, {'Movie': 'Dawn of the Dead', 'Release_Year': '1978'}, {'Movie': 'Dawn of the Dead', 'Release_Year': '2004'}, {'Movie': 'Monkey Shines', 'Release_Year': '1988'}, {'Movie': 'Survival of the Dead', 'Release_Year': '2009'}, {'Movie': 'Bruiser', 'Release_Year': '2000'}, {'Movie': 'Night of the Living Dead', 'Release_Year': '1968'}, {'Movie': 'Night of the Living Dead', 'Release_Year': '1990'}, {'Movie': 'Day of the Dead', 'Release_Year': '2008'}, {'Movie': 'Day of the Dead', 'Release_Year': '1985'}, {'Movie': 'Knightriders', 'Release_Year': '1981'}, {'Movie': 'Two Evil Eyes', 'Release_Year': '1990'}]",matched,
what types are the movies written by the screenwriter of [Earth Days],Drama|Documentary,3,what types are the movies written by the screenwriter of [],"
MATCH (m:`movie` {name: 'Earth Days'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:has_genre]->(g:`genre`)
RETURN g LIMIT 200
","[{'g': 'Documentary'}, {'g': 'Drama'}, {'g': 'Drama'}]",matched,
what are the genres of the films whose directors also directed [Bugsy Malone],Horror|War|Drama|Music|Comedy|Musical|Thriller,3,what are the genres of the films whose directors also directed [],,[],error,"Traceback (most recent call last):
  File ""C:\Users\milishah\AppData\Local\Temp\ipykernel_21348\1793241463.py"", line 8, in _correct_row
    row[""neo4j_response""] = query_neo4j_with_cypher(row[""cypher""], None, KG)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\prepare_evaluation_metaqa.py"", line 82, in query_neo4j_with_cypher
    parsed_neo4j_response = parse_neo4j_response_dict5(neo4j_response)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\neo4j_processors\neo4j_parsers.py"", line 157, in parse_neo4j_response_dict5
    for record in response:
TypeError: 'NoneType' object is not iterable
"
what genres do the movies that share directors with [Time to Leave] fall under,Drama|Fantasy|Comedy|Musical|Thriller,3,what genres do the movies that share directors with [] fall under,"
MATCH (g:`genre`)<-[:has_genre]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'Time to Leave'}) 
WHERE m <> m2 
RETURN g LIMIT 200
","[{'g': 'Comedy'}, {'g': 'Drama'}, {'g': 'Fantasy'}, {'g': 'Musical'}, {'g': 'Comedy'}, {'g': 'Thriller'}, {'g': 'Thriller'}, {'g': 'Drama'}]",matched,
who starred in the films whose screenwriters also wrote [Alias Betty],Ludivine Sagnier|Nicole Garcia|Bernard Giraudeau,3,who starred in the films whose screenwriters also wrote [],"
MATCH (m:`movie`)-[:written_by]->(w:`writer`)<-[:written_by]-(:`movie` {name: 'Alias Betty'})-[:starred_actors]->(a:`actor`)
RETURN a  
",[],unmatched,
what languages are the films that share writers with [Creature with the Atom Brain] in,Swedish|English,3,what languages are the films that share writers with [] in,"
MATCH (l:`language`)<-[:in_language]-(m:`movie`)-[:written_by]->(:`writer`)<-[:written_by]-(m2:`movie` {name: 'Creature with the Atom Brain'}) 
WHERE m <> m2 
RETURN l LIMIT 200
","[{'l': 'Swedish'}, {'l': 'English'}]",matched,
what were the release dates of movies starred by actors in [Best Defense],1989|1986|1987|1984|1982|1983|1980|1981|1979|1967|1988|1963|2011|2012|1948|1990|1992|1995|1994|1997|1996|1999|1998|2002|2003|2000|2001|2006|2007|2004|2008|2009,3,what were the release dates of movies starred by actors in [],"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Best Defense'}) 
WHERE m <> m2 
RETURN m.name, yr LIMIT 200
","[{'m.name': 'Blame It on the Bellboy', 'yr': '1992'}, {'m.name': '10', 'yr': '1979'}, {'m.name': 'Lovesick', 'yr': '1983'}, {'m.name': 'Wholly Moses!', 'yr': '1980'}, {'m.name': 'Like Father Like Son', 'yr': '1987'}, {'m.name': 'Unfaithfully Yours', 'yr': '1984'}, {'m.name': 'Unfaithfully Yours', 'yr': '1948'}, {'m.name': 'Bedazzled', 'yr': '1967'}, {'m.name': 'Bedazzled', 'yr': '2000'}, {'m.name': 'The Adventures of Milo and Otis', 'yr': '1986'}, {'m.name': 'Six Weeks', 'yr': '1982'}, {'m.name': 'Romantic Comedy', 'yr': '1983'}, {'m.name': 'Arthur', 'yr': '2011'}, {'m.name': 'Arthur', 'yr': '1981'}, {'m.name': 'Crazy People', 'yr': '1990'}, {'m.name': 'Imagine That', 'yr': '2009'}, {'m.name': 'Beverly Hills Cop III', 'yr': '1994'}, {'m.name': 'Showtime', 'yr': '2002'}, {'m.name': 'Holy Man', 'yr': '1998'}, {'m.name': 'The Adventures of Pluto Nash', 'yr': '2002'}, {'m.name': 'The Golden Child', 'yr': '1986'}, {'m.name': 'Shrek', 'yr': '2001'}, {'m.name': 'Shrek the Halls', 'yr': '2007'}, {'m.name': 'Tower Heist', 'yr': '2011'}, {'m.name': 'The Nutty Professor', 'yr': '1996'}, {'m.name': 'The Nutty Professor', 'yr': '1963'}, {'m.name': 'Coming to America', 'yr': '1988'}, {'m.name': 'A Thousand Words', 'yr': '2012'}, {'m.name': 'Boomerang', 'yr': '1992'}, {'m.name': 'Life', 'yr': '1999'}, {'m.name': 'Another 48 Hrs.', 'yr': '1990'}, {'m.name': '48 Hrs.', 'yr': '1982'}, {'m.name': 'Beverly Hills Cop', 'yr': '1984'}, {'m.name': 'Daddy Day Care', 'yr': '2003'}, {'m.name': 'Harlem Nights', 'yr': '1989'}, {'m.name': 'Vampire in Brooklyn', 'yr': '1995'}, {'m.name': 'Metro', 'yr': '1997'}, {'m.name': 'Meet Dave', 'yr': '2008'}, {'m.name': 'Beverly Hills Cop II', 'yr': '1987'}, {'m.name': 'The Distinguished Gentleman', 'yr': '1992'}, {'m.name': 'Dr. Dolittle 2', 'yr': '2001'}, {'m.name': 'Norbit', 'yr': '2007'}, {'m.name': 'Dreamgirls', 'yr': '2006'}, {'m.name': 'I Spy', 'yr': '2002'}, {'m.name': 'The Haunted Mansion', 'yr': '2003'}, {'m.name': 'Bowfinger', 'yr': '1999'}, {'m.name': 'Shrek 2', 'yr': '2004'}]",matched,
