question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what words describe film [Midnight in Paris],comedy|fantasy|paris|woody allen|owen wilson|rachel mcadams|adrien brody|nostalgia|marion cotillard|kathy bates,1,what words describe film [],"
MATCH (midnightMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(midnightMovie.name)='midnight in paris' 
RETURN tag LIMIT 200
","[{'tag': 'kathy bates'}, {'tag': 'marion cotillard'}, {'tag': 'nostalgia'}, {'tag': 'adrien brody'}, {'tag': 'rachel mcadams'}, {'tag': 'owen wilson'}, {'tag': 'woody allen'}, {'tag': 'paris'}, {'tag': 'fantasy'}, {'tag': 'comedy'}]",matched,
what year was the movie [Gardenia] released,1979,1,what year was the movie [] released,"
MATCH (gardeniaMovie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(gardeniaMovie.name)='gardenia' 
RETURN year LIMIT 1
",[{'year': '1979'}],matched,
who is the creator of the film script for [Harishchandrachi Factory],Paresh Mokashi,1,who is the creator of the film script for [],"
MATCH (harishMovie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(harishMovie.name)='harishchandrachi factory' 
RETURN writer LIMIT 200
",[{'writer': 'Paresh Mokashi'}],matched,
what is a film written by [Tony Palmer],200 Motels|The Space Movie,1,what is a film written by [],"
MATCH (tonyWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(tonyWriter.name)='tony palmer' 
RETURN movie LIMIT 200
","[{'movie': '200 Motels'}, {'movie': 'The Space Movie'}]",matched,
what was the genre of the film [McQ],Drama|Crime,1,what was the genre of the film [],"
MATCH (mcqMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(mcqMovie.name)='mcq' 
RETURN genre LIMIT 200
","[{'genre': 'Drama'}, {'genre': 'Crime'}]",matched,
the movie [The Wizard of Baghdad] starred who,Diane Baker|Dick Shawn,1,the movie [] starred who,"
MATCH (wizardMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(wizardMovie.name)='the wizard of baghdad' 
RETURN actor LIMIT 200
","[{'actor': 'Dick Shawn'}, {'actor': 'Diane Baker'}]",matched,
what was the release year of [The Hireling],1973,1,what was the release year of [],"
MATCH (hirelingMovie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(hirelingMovie.name)='the hireling' 
RETURN year LIMIT 1
",[{'year': '1973'}],matched,
what genre is [White of the Eye] in,Thriller,1,what genre is [] in,"
MATCH (whiteMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(whiteMovie.name)='white of the eye' 
RETURN genre LIMIT 200
",[{'genre': 'Thriller'}],matched,
what was the release date of the movie [Coral Reef Adventure],2003,1,what was the release date of the movie [],"
MATCH (coralMovie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(coralMovie.name)='coral reef adventure' 
RETURN year LIMIT 1
",[{'year': '2003'}],matched,
who is the director for [Buffalo '66],Vincent Gallo,1,who is the director for [],"
MATCH (buffaloMovie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(buffaloMovie.name)=""buffalo '66"" 
RETURN director LIMIT 200
",[{'director': 'Vincent Gallo'}],matched,
how popular of a movie is [Lords of Dogtown],famous,1,how popular of a movie is [],"
MATCH (movie:`movie`)-[:has_imdb_votes]->(votes:`imdbvotes`) 
WHERE toLower(movie.name)='lords of dogtown' 
RETURN movie.name as Movie, votes.value as Popularity
",[{'Movie': 'Lords of Dogtown'}],unmatched,
what movies was [Kevin Jakubowski] the writer of,Assassination of a High School President,1,what movies was [] the writer of,"
MATCH (kevinWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(kevinWriter.name)='kevin jakubowski' 
RETURN movie  
",[{'movie': 'Assassination of a High School President'}],matched,
describe the movie [John Tucker Must Die] in a few words,high school|betty thomas,1,describe the movie [] in a few words,"
MATCH (movie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(movie.name)='john tucker must die' 
RETURN tag.name LIMIT 200
","[{'tag.name': 'betty thomas'}, {'tag.name': 'high school'}]",matched,
what is the language spoken in the movie [Pinocchio],Italian,1,what is the language spoken in the movie [],"
MATCH (pinocchioMovie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(pinocchioMovie.name)='pinocchio' 
RETURN language LIMIT 200
",[{'language': 'Italian'}],matched,
the director of [Three Guys Named Mike] was,Charles Walters,1,the director of [] was,"
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(movie.name)='three guys named mike' 
RETURN director LIMIT 200
",[{'director': 'Charles Walters'}],matched,
"the movie [Will Success Spoil Rock Hunter?], when was it released",1957,1,"the movie [], when was it released","
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(movie.name)='will success spoil rock hunter?' 
RETURN year LIMIT 1
",[{'year': '1957'}],matched,
"which topics is [Drive, He Said] about",jack nicholson,1,which topics is [] about,"
MATCH (driveMovie:`movie`)-[:has_tags]->(tag:`tag`) 
WHERE toLower(driveMovie.name)='drive, he said' 
RETURN tag LIMIT 200
",[{'tag': 'jack nicholson'}],matched,
who starred in [Salome's Last Dance],Douglas Hodge|Nickolas Grace,1,who starred in [],"
MATCH (salomeMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(salomeMovie.name)='salome\'s last dance' 
RETURN actor LIMIT 200
","[{'actor': 'Nickolas Grace'}, {'actor': 'Douglas Hodge'}]",matched,
what was the release date of [Guns of the Magnificent Seven],1969,1,what was the release date of [],"
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(movie.name)='guns of the magnificent seven' 
RETURN year LIMIT 1
",[{'year': '1969'}],matched,
how famous of a film was [Pumping Iron],famous,1,how famous of a film was [],"
MATCH (pumpingIron:`movie`)-[:has_imdb_rating]->(rating:`imdbrating`), 
      (pumpingIron:`movie`)-[:has_imdb_votes]->(votes:`imdbvotes`) 
WHERE toLower(pumpingIron.name)='pumping iron' 
RETURN pumpingIron.name AS movie, rating.value AS imdb_rating, votes.value AS imdb_votes
",[],unmatched,
what movie did [Vittorio de Benedetti] write the story for,A Walk in the Clouds,1,what movie did [] write the story for,"
MATCH (vittorioWriter:`writer`)<-[:written_by]-(movie:`movie`) 
WHERE toLower(vittorioWriter.name)='vittorio de benedetti' 
RETURN movie LIMIT 200
",[{'movie': 'A Walk in the Clouds'}],matched,
